student_id,attendance,study_hours,assignments_score,previous_score,final_score,pass_fail
1,85,6,80,75,88,Pass
2,60,3,45,40,48,Fail
3,78,5,70,68,74,Pass
4,55,2,30,35,40,Fail
5,90,7,88,82,91,Pass
6,72,4,66,64,70,Pass
7,50,2,25,30,38,Fail
8,95,8,92,90,94,Pass
9,65,3,55,52,60,Pass
10,82,5,77,71,80,Pass
11,68,4,63,59,66,Pass
12,58,2,40,45,47,Fail
13,92,7,89,84,90,Pass
14,75,5,70,69,74,Pass
15,80,6,75,72,78,Pass
16,45,1,20,25,35,Fail
17,88,6,83,79,85,Pass
18,53,3,50,46,55,Fail
19,91,7,87,83,89,Pass
20,64,3,58,54,62,Pass
21,77,5,68,66,72,Pass
22,59,2,44,42,50,Fail
23,84,6,79,74,82,Pass
24,69,4,61,60,67,Pass
25,87,6,84,80,86,Pass
26,56,3,48,43,52,Fail
27,73,4,67,65,70,Pass
28,90,7,88,84,90,Pass
29,63,3,55,50,58,Fail
30,79,5,73,69,76,Pass
31,85,6,80,78,83,Pass
32,66,4,60,56,64,Pass
33,54,2,35,38,45,Fail
34,82,5,76,71,79,Pass
35,88,7,85,82,87,Pass
36,70,4,62,61,68,Pass
37,57,2,43,40,48,Fail
38,93,8,91,88,93,Pass
39,60,3,50,47,55,Fail
40,75,5,68,66,72,Pass
41,89,6,84,80,86,Pass
42,65,3,56,53,60,Pass
43,48,2,30,32,40,Fail
44,92,7,90,87,91,Pass
45,71,4,63,61,67,Pass
46,59,3,46,44,52,Fail
47,83,5,78,74,80,Pass
48,94,8,92,89,94,Pass
49,67,4,60,57,65,Pass
50,55,2,40,42,46,Fail
51,86,6,82,79,84,Pass
52,73,5,68,65,70,Pass
53,58,2,42,40,48,Fail
54,90,7,88,85,89,Pass
55,62,3,52,50,58,Fail
56,77,5,70,68,74,Pass
57,81,6,76,72,80,Pass
58,47,1,28,30,38,Fail
59,95,8,93,90,94,Pass
60,69,4,62,59,66,Pass
61,87,6,83,79,86,Pass
62,52,2,35,36,44,Fail
63,84,6,78,75,82,Pass
64,60,3,50,46,54,Fail
65,76,5,69,67,73,Pass
66,91,7,88,84,90,Pass
67,68,4,61,58,65,Pass
68,57,3,45,43,50,Fail
69,89,7,85,82,87,Pass
70,62,3,53,51,57,Fail
71,80,5,74,70,78,Pass
72,55,2,40,38,46,Fail
73,92,7,89,86,91,Pass
74,63,3,54,50,58,Fail
75,79,5,72,68,75,Pass
76,85,6,81,77,83,Pass
77,61,3,49,47,53,Fail
78,90,7,87,83,89,Pass
79,64,4,57,55,61,Pass
80,48,2,30,33,40,Fail
81,88,7,84,81,86,Pass
82,70,4,62,60,67,Pass
83,59,3,46,44,51,Fail
84,94,8,91,88,93,Pass
85,66,4,59,56,63,Pass
86,53,2,38,40,45,Fail
87,83,5,77,73,80,Pass
88,91,7,88,85,90,Pass
89,75,5,69,67,72,Pass
90,56,3,44,41,49,Fail
91,86,6,82,78,85,Pass
92,68,4,61,59,65,Pass
93,50,2,33,35,40,Fail
94,93,8,90,87,92,Pass
95,72,5,66,64,70,Pass
96,58,3,43,42,49,Fail
97,89,7,85,81,88,Pass
98,63,4,55,52,60,Pass
99,47,2,28,31,38,Fail
100,96,8,94,91,95,Pass
